t	f(t)
6.012024	2.003038
6.032064	1.858898
6.052104	1.814621
6.072144	1.895865
6.092184	1.826452
6.112224	1.821350
6.132265	1.753550
6.152305	1.647346
6.172345	1.767925
6.192385	1.788752
6.212425	1.512960
6.232465	1.558031
6.252505	1.538326
6.272545	1.554990
6.292585	1.438978
6.312625	1.634638
6.332665	1.420962
6.352705	1.536112
6.372745	1.495967
6.392786	1.450936
6.412826	1.708610
6.432866	1.521162
6.452906	1.259422
6.472946	1.374490
6.492986	1.518917
6.513026	1.190357
6.533066	1.207800
6.553106	1.305525
6.573146	1.090141
6.593186	1.117381
6.613226	1.216453
6.633267	1.462073
6.653307	1.103290
6.673347	1.256711
6.693387	1.240879
6.713427	0.883108
6.733467	1.131007
6.753507	1.199137
6.773547	1.245537
6.793587	0.942055
6.813627	1.197590
6.833667	1.246030
6.853707	0.924985
6.873747	0.975886
6.893788	1.122606
6.913828	0.951679
6.933868	0.946378
6.953908	0.747584
6.973948	0.833013
6.993988	0.898280
7.014028	0.910638
7.034068	0.875634
7.054108	0.926018
7.074148	0.663125
7.094188	0.868997
7.114228	0.844791
7.134269	0.859416
7.154309	0.871894
7.174349	1.124936
7.194389	1.009240
7.214429	0.864209
7.234469	0.860055
7.254509	0.737343
7.274549	0.882118
7.294589	0.778695
7.314629	0.969837
7.334669	0.656024
7.354709	0.735683
7.374749	0.845206
7.394790	0.902389
7.414830	0.851298
7.434870	0.841631
7.454910	0.878575
7.474950	0.854533
7.494990	0.810809
7.515030	0.833763
7.535070	0.961085
7.555110	0.781462
7.575150	0.699590
7.595190	0.575680
7.615230	0.684734
7.635271	1.094927
7.655311	0.685688
7.675351	1.067764
7.695391	0.956781
7.715431	0.957553
7.735471	0.988347
7.755511	1.000560
7.775551	0.952350
7.795591	1.065355
7.815631	1.019406
7.835671	1.247519
7.855711	1.074361
7.875752	1.022320
7.895792	0.968008
7.915832	0.968513
7.935872	1.019420
7.955912	1.250212
7.975952	1.157154
7.995992	1.056794
8.016032	1.170136
8.036072	1.047835
8.056112	1.072531
8.076152	1.118016
8.096192	1.203390
8.116232	1.190991
8.136273	1.362006
8.156313	1.225961
8.176353	1.243581
8.196393	1.315994
8.216433	1.393111
8.236473	1.264143
8.256513	1.376795
8.276553	1.401789
8.296593	1.413325
8.316633	1.298112
8.336673	1.381643
8.356713	1.531373
8.376754	1.613678
8.396794	1.300518
8.416834	1.552409
8.436874	1.559582
8.456914	1.615528
8.476954	1.723561
8.496994	1.728007
8.517034	1.724901
8.537074	1.899364
8.557114	1.718579
8.577154	1.743729
8.597194	1.812236
8.617234	1.622532
8.637275	1.875014
8.657315	1.810346
8.677355	1.915807
8.697395	1.914087
8.717435	1.859647
8.737475	1.788770
8.757515	1.835580
8.777555	1.956049
8.797595	1.824366
8.817635	1.938772
8.837675	1.880438
8.857715	2.082212
8.877756	2.091942
8.897796	1.889844
8.917836	1.860702
8.937876	2.147451
8.957916	1.995366
8.977956	2.147448
8.997996	2.069969
9.018036	2.085916
9.038076	2.041138
9.058116	2.086674
9.078156	2.115436
9.098196	2.182738
9.118236	2.238138
9.138277	2.124390
9.158317	2.072953
9.178357	2.107930
9.198397	2.269357
9.218437	2.136354
9.238477	2.018214
9.258517	2.072962
9.278557	2.211963
9.298597	2.230955
9.318637	1.995834
9.338677	2.243558
9.358717	2.160897
9.378758	2.184746
9.398798	2.078267
9.418838	2.237156
9.438878	2.059317
9.458918	2.358264
9.478958	2.072692
9.498998	2.305197
9.519038	2.154152
9.539078	2.201905
9.559118	2.191122
9.579158	2.323006
9.599198	2.099642
9.619238	2.276499
9.639279	2.103495
9.659319	1.929943
9.679359	2.144098
9.699399	2.175147
9.719439	2.368757
9.739479	2.126940
9.759519	2.010936
9.779559	2.122490
9.799599	2.101552
9.819639	2.255003
9.839679	2.173851
9.859719	2.056413
9.879760	2.008052
9.899800	2.124646
9.919840	2.088051
9.939880	1.967045
9.959920	1.996561
9.979960	2.031701
10.000000	1.993691
